match_id,team,number,player
3,ALG,87,AYOUB Abdi
3,MAR,1,IDRISSI Yassine
3,MAR,10,ZAROILI Mohamed
3,MAR,12,LAAROUSSI Alae
3,MAR,13,HAKIMI Hicham
3,MAR,18,BELLIMAM Lahcen
3,MAR,21,FOUGANI Nacym Hamed
3,MAR,24,EZZINE Mohammed
3,MAR,46,HARCHAOUI Amine
3,MAR,7,REIDA Rezzouki
3,MAR,8,BENTALEB Mohamed Amine
3,MAR,91,ADLI Achraf
3,MAR,92,EL KACHRADI Hassan
3,MAR,93,LAKBI Ryad
3,MAR,94,ISMAILI  ALAOUI Mehdi
3,MAR,97,EL MALKI Said
3,MAR,99,SLASSI Nabil
4,ISL,11,GISLASON Ymir Orn
4,ISL,13,GUDMUNDSSON Olafur Andres
4,ISL,14,MAGNUSSON Omar Ingi
4,ISL,15,PETERSSON Alexander
4,ISL,16,HALLGRIMSSON Viktor Gisli
4,ISL,17,GUNNARSSON Arnor Thor
4,ISL,18,KRISTJANSSON Gisli Thorgeir
4,ISL,20,BJORGVINSSON Agust Eli
4,ISL,21,ARNARSSON Arnar Freyr
4,ISL,22,GUDJONSSON Sigvaldi Bjorn
4,ISL,23,GRETARSSON Oddur
4,ISL,29,VIDARSSON Ellidi Snaer
4,ISL,33,SMARASON Janus Dadi
4,ISL,7,KRISTJANSSON Viggo
4,ISL,8,ELISSON Bjarki Mar
4,ISL,9,JONSSON Elvar Orn
4,POR,1,QUINTANA Alfredo
4,POR,10,MARTINS Miguel
4,POR,11,MOREIRA Belone
4,POR,14,SILVA Rui
4,POR,15,SALINA Daymaro
4,POR,16,GOMES Humberto
4,POR,22,BORGES Alexis
4,POR,23,BRANQUINHO Diogo
4,POR,25,AREIA Antonio
4,POR,27,GOMES Andre
4,POR,30,FERNANDES Leonel
4,POR,4,PORTELA Pedro
4,POR,5,DUARTE Gilberto
4,POR,8,ITURRIZA Victor
4,POR,88,MAGALHAES Fabio
4,POR,9,FERRAZ Joao
5,AUT,1,BAUER Thomas
5,AUT,20,FRIMMEL Sebastian
5,AUT,24,DICKER Daniel
5,AUT,26,HERBURGER Lukas
5,AUT,28,ZEINER Gerald
5,AUT,30,ZIVKOVIC Boris
5,AUT,31,PRATSCHNER Julian
5,AUT,4,HERMANN Maximilian
5,AUT,40,EICHBERGER Thomas
5,AUT,55,WAGNER Tobias
5,AUT,57,HUBER Balthasar
5,AUT,6,SCHMID Dominik
5,AUT,60,JOCHMANN Jakob
5,AUT,72,HUTECEK Lukas
5,AUT,77,STEVANOVIC Nikola
5,AUT,8,WEBER Robert
5,SUI,11,SIDOROWICZ Roman
5,SUI,15,RAEMY Nicolas
5,SUI,16,PORTNER Nikola
5,SUI,17,ROTHLISBERGER Samuel
5,SUI,2,SCHMID Andy
5,SUI,24,TOMINEC Nik
5,SUI,27,GERBL Maximilian
5,SUI,29,ZEHNDER Samuel
5,SUI,31,BRINGOLF Aurel
5,SUI,34,MILOSEVIC Alen
5,SUI,36,NOVAK Philip
5,SUI,4,RUBIN Lenny
5,SUI,44,BEN ROMDHANE Medhi
5,SUI,6,TYNOWSKI Cedrie
5,SUI,8,SVAJLEN Michal
5,SUI,9,LIER Marvin
6,FRA,10,MEM Dika
6,FRA,11,TOURNAT Nicolas
6,FRA,12,GERARD Vincent
6,FRA,14,MAHE Kentin
6,FRA,17,N'GUESSAN Timothey
6,FRA,19,ABALO Luc
6,FRA,21,GUIGOU Michael
6,FRA,22,KARABATIC Luka
6,FRA,23,FABREGAS Ludovic
6,FRA,24,PARDIN Wesley
6,FRA,25,DESCAT Hugo
6,FRA,27,DIPANDA Adrien
6,FRA,28,PORTE Valentin
6,FRA,5,REMILI Nedim
6,FRA,7,LAGARDE Romain
6,FRA,9,RICHARDSON Melvyn
6,NOR,11,OVERBY Petter
6,NOR,12,SAEVERAS Kristian
6,NOR,15,TONNESEN Kent Robin
6,NOR,17,JONDAL Magnus
6,NOR,18,AAR William
6,NOR,19,BJORNSEN Kristian
6,NOR,23,JOHANNESSEN Goran Sogard
6,NOR,25,TANGEN Eivind
6,NOR,27,REINKIND Harald
6,NOR,30,BERGERUD Torbjorn Sittrup
6,NOR,32,SOLSTAD Thomas
6,NOR,5,SAGOSEN Sander
6,NOR,7,OVERJORDET Sander
6,NOR,71,BLONZ Alexandre Christoffersen
6,NOR,8,MYRHOL Bjarte
6,NOR,9,JAKOBSEN Henrik
7,BLR,17,KRYVENKA Uladzislau
7,BLR,20,KISHOU  Aliaksei
7,BLR,23,YURYNOK Andrei
7,BLR,3,KULESH Uladzislau
7,BLR,33,MAROZ Ivan
7,BLR,43,SELVIASIUK Artsiom
7,BLR,47,PADSHYVALAU Aliaksandr
7,BLR,50,KARALEK Artsem
7,BLR,55,VAILUPAU Mikita
7,BLR,62,SAMOILA Kiryl
7,BLR,7,KULAK Artsiom
7,BLR,74,BOKHAN Viachaslau
7,BLR,8,RUDZ Artur
7,BLR,9,ASTRASHAPKIN Aleh
7,BLR,95,GAYDUCHENKO Vadim
7,BLR,98,ALIOKHIN Mikalai
7,RHF,16,PAVLENKO Dmitrii
7,RHF,17,KOTOV Aleksandr
7,RHF,23,OSTASHCHENKO Roman
7,RHF,27,VASILEV Denis
7,RHF,28,KUDINOV Sergei
7,RHF,30,ERMAKOV Aleksandr
7,RHF,33,SHISHKAREV Daniil
7,RHF,36,IVANOV Sergei
7,RHF,44,SOROKA Igor
7,RHF,5,KISELEV Dmitrii
7,RHF,55,VALIULLIN Azat
7,RHF,78,ANDREEV Pavel
7,RHF,87,KIREEV Viktor
7,RHF,89,ZHITNIKOV Dmitrii
7,RHF,97,FOKIN Aleksei
7,RHF,99,KOSOROTOV Sergei Mark
8,KOR,10,YU Chanmin
8,KOR,13,LEE Junhee
8,KOR,19,BAEK Seunggeon
8,KOR,22,LEE Byeongju
8,KOR,23,JEON Youngje
8,KOR,24,KIM Myeongjong
8,KOR,26,KIM Jinyoung
8,KOR,28,KIM Jinho
8,KOR,32,JO Donghyeon
8,KOR,33,KIM Jaesoon
8,KOR,34,KIM Younggil
8,KOR,77,LEE Changwoo
8,KOR,8,KIM Hyeonwoo
8,KOR,87,KIM Jiun
8,KOR,97,KIM Taeung
8,KOR,98,AN Jaepil
8,SLO,11,DOLENEC Jure
8,SLO,13,CINGESAR Darko
8,SLO,16,VUJOVIC Miljan
8,SLO,17,CEHTE Nejc
8,SLO,2,SKUBE Stas
8,SLO,21,GAJIC Dragan
8,SLO,22,GABER Matej
8,SLO,23,ZARABEC Miha
8,SLO,26,FERLIN Klemen
8,SLO,3,BLAGOTINSEK Blaz
8,SLO,34,OVNICEK Rok
8,SLO,44,BOMBAC Dean
8,SLO,5,HENIGMAN Nik
8,SLO,51,MACKOVSEK Borut
8,SLO,8,JANC Blaz
8,SLO,95,SUHOLEZNIK Matic
9,ARG,11,MOSCARIELLO Lucas Dario
9,ARG,15,CAROU MARCEL Gonzalo Matias
9,ARG,18,FISCHER Guillermo Jose
9,ARG,19,MARTINEZ CAMI Pedro
9,ARG,2,FERNANDEZ Federico Gaston
9,ARG,20,MARTINEZ Ramiro
9,ARG,22,MOURINO Gaston Alberto
9,ARG,3,PIZARRO Federico
9,ARG,4,SIMONET Sebastian Alejandro
9,ARG,40,MACIEL Leonel Carlos Sergio
9,ARG,5,VAINSTEIN Pablo
9,ARG,6,SIMONET Diego Esteban
9,ARG,7,PIZARRO Ignacio
9,ARG,77,BONANNO Nicolas
9,ARG,8,SIMONET Pablo Ariel
9,ARG,87,BAR Juan Manuel
9,COD,1,SOBTACDOUG TIETCHOP Berlin
9,COD,10,NGOULOU QUENTIN Andre
9,COD,11,NGANDO OUEDRAOGO Adam
9,COD,12,LUCAU HERDEIRO Junior
9,COD,15,MVUMBI THIERRY Gauthier
9,COD,16,JACOBY KOALY Jordy
9,COD,17,KIANGEBENI KAWOLA Johan
9,COD,18,EYANGA SIMOKETO Baudric
9,COD,22,BEAUREGARD MBAKA Frederic
9,COD,27,BOTETSI Olivier
9,COD,4,YAHOZA MOGA Christian
9,COD,68,TCHITOMBI Aurelien
9,COD,75,CORNEIL OLIVIER Steeven
9,COD,83,KINZONZOLO MIATUDILA Jacques
9,COD,84,TUZOLANA Audray
9,COD,9,BOUITY GENESE Zephyrin
10,BRN,14,QAMBAR Qasim
10,BRN,15,ABDULREDHA Mohamed
10,BRN,18,FADHUL Ahmed
10,BRN,19,MERZA Mohamed
10,BRN,21,A.HUSAIN Mohamed
10,BRN,25,ALSHUWAIKH Qasim
10,BRN,66,MAHFOODH Komail
10,BRN,7,MERZA Ali
10,BRN,77,ALSALATNA Jasim
10,BRN,78,SALMAN Ali
10,BRN,88,ALFARDAN Hasan
10,BRN,89,SAAD Mahdi
10,BRN,9,ALSAMAHIJI Hasan
10,BRN,93,AHMED Mohamed
10,BRN,98,HABIB Mohamed
10,BRN,99,ALSAYYAD Husain
10,DEN,1,JACOBSEN Niklas Landin
10,DEN,14,ZACHARIASSEN Anders
10,DEN,15,JENSEN Magnus Saugstrup
10,DEN,17,SVAN Lasse J.
10,DEN,20,MOLLER Kevin
10,DEN,21,JENSEN Henrik Mollgaard
10,DEN,22,LARSEN Mads Mensah
10,DEN,24,HANSEN Mikkel
10,DEN,25,OLSEN Morten Toft
10,DEN,26,HANSEN Johan P.
10,DEN,28,ANDERSSON Lasse B.
10,DEN,31,NIELSEN Nikolaj Oris
10,DEN,32,HOLM Jacob T.
10,DEN,33,GIDSEL Mathias
10,DEN,34,JENSEN Simon Hald
10,DEN,4,JACOBSEN Magnus Landin
11,BRA,1,SANTOS Maik
11,BRA,10,TOLEDO Jose
11,BRA,13,MORAES Rogerio
11,BRA,16,da ROSA Rangel
11,BRA,19,CHIUFFA Fabio
11,BRA,2,TEIXEIRA Henrique
11,BRA,25,TEIXEIRA Vinicius
11,BRA,30,PATRIANOVA Arthur
11,BRA,33,DUTRA Leonardo
11,BRA,34,LUCIANO Jose
11,BRA,35,PONCIANO Thiago
11,BRA,37,LANGARO Haniel
11,BRA,4,SILVA Joao
11,BRA,77,HACKBARTH Rudolph
11,BRA,89,ALMEIDA Cesar
11,BRA,95,RODRIGUES Gustavo
11,ESP,1,PEREZ de VARGAS MORENO Gonzalo
11,ESP,10,DUJSHEBAEV DOVICHEBAEVA Alex
11,ESP,11,SARMIENTO MELIAN Daniel
11,ESP,12,CORRALES RODAL Rodrigo
11,ESP,14,SOLE SALA Ferran
11,ESP,17,FIGUERAS TREJO Adrian
11,ESP,21,CANELLAS REIXACH Joan
11,ESP,24,MORROS de ARGILA Viran
11,ESP,28,GOMEZ ABELLO Aleix
11,ESP,29,ARINO BENGOECHEA Aitor
11,ESP,30,GUARDIOLA VILLAPLANA Gedeon
11,ESP,5,MAQUEDA PENO Jorge
11,ESP,52,MARCHAN CRIADO Ruben
11,ESP,59,DUJSHEBAEV DOVICHEBAEVA Daniel
11,ESP,6,FERNANDEZ PEREZ Angel
11,ESP,9,ENTRERRIOS RODRIGUEZ Raul
12,POL,11,MAJDZINSKI Maciej
12,POL,16,WYSZOMIRSKI Piotr
12,POL,19,CZUWARA Jan
12,POL,20,PILITOWSKI Maciej
12,POL,23,MORYTO Arkadiusz
12,POL,26,DASZEK Michal
12,POL,28,GEBALA Maciej
12,POL,30,PRZYBYLSKI Rafal
12,POL,36,DAWYDZIK Dawid
12,POL,4,OLEJNICZAK Michal
12,POL,48,GEBALA Tomasz
12,POL,49,CHRAPKOWSKI Piotr
12,POL,6,KRAJEWSKI Przemyslaw
12,POL,7,WALCZAK Patryk
12,POL,9,SICKO Szymon
12,POL,94,MORAWSKI Adam
12,TUN,12,MAGGAIZ Marouen
12,TUN,15,HAJ YOUSSEF Khaled
12,TUN,19,SANAI Mosbah
12,TUN,22,MAAREF Yousef
12,TUN,27,RZIG Issam
12,TUN,39,SOUSSI Mohamed
